[2023-03-07T23:10:12.125510+0300] [DEBUG] [logging.py:19]  Received callback query [data:"lang_ru"] from user [ID:448470724] for message [ID:646] in chat [ID:448470724]
[2023-03-07T23:10:38.362821+0300] [DEBUG] [logging.py:11]  Received message [AQID:648] from user [ID:448470724] in chat [ID:448470724] text "/help"
[2023-03-07T23:11:45.353394+0300] [DEBUG] [logging.py:11]  Received message [AQID:650] from user [ID:448470724] in chat [ID:448470724] text "Добавить новую задачу 🆕"
[2023-03-07T23:17:01.745179+0300] [INFO] [main.py:11]  Bot startup
[2023-03-07T23:17:19.112406+0300] [DEBUG] [logging.py:11]  Received message [AQID:652] from user [ID:448470724] in chat [ID:448470724] text "/start"
[2023-03-07T23:17:26.256916+0300] [DEBUG] [logging.py:19]  Received callback query [data:"lang_en"] from user [ID:448470724] for message [ID:653] in chat [ID:448470724]
[2023-03-07T23:18:21.106217+0300] [INFO] [main.py:11]  Bot startup
[2023-03-07T23:18:21.612442+0300] [DEBUG] [logging.py:11]  Received message [AQID:655] from user [ID:448470724] in chat [ID:448470724] text "/start"
[2023-03-07T23:18:26.801270+0300] [DEBUG] [logging.py:19]  Received callback query [data:"lang_en"] from user [ID:448470724] for message [ID:656] in chat [ID:448470724]
[2023-03-07T23:21:09.360569+0300] [INFO] [main.py:11]  Bot startup
[2023-03-07T23:21:16.646036+0300] [DEBUG] [logging.py:11]  Received message [AQID:658] from user [ID:448470724] in chat [ID:448470724] text "Help 🆘"
[2023-03-07T23:21:24.960607+0300] [DEBUG] [logging.py:11]  Received message [AQID:660] from user [ID:448470724] in chat [ID:448470724] text "/date"
[2023-03-07T23:21:33.840176+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:NEXT-YEAR:2023:3:1"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:36.539904+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:PREV-YEAR:2024:2:1"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
